Country,OblName,City,id,codeKLADR,is_terminal
RU,ZAB,Балей,0x9d3e00215e70232411e0f665a0cfa23d,7500400100000000000000000,0
RU,TA,Балтаси,0xb68602215ecc9d4b11e10c319430f8b0,1601300000100000000000000,0
RU,KGD,Балтийск,0x942b00215e70232411e2824729d49bf3,3901500100000000000000000,0
KZ,KAR,Балхаш,0xb948025932088d014f783959818166d6,9993983501600100000000000,0
RU,NVS,Барабинск,0x81f600112fdd658311da7152ab69d621,5400000400000000000000000,0
BY,BR,Барановичи,0xa8e42e726665e8964d295a5ac29561b1,9991121200001000000000000,0
RU,SVE,Баранчинский,0xac09001a64d37be411de25cbd130f374,6600001200400000000000000,0
RU,ALT,Барнаул,0x81f600112fdd658311da7152ab69d622,2200000100000000000000000,1
RU,ULY,Барыш,0x94c900215e7024d411df23881f0075a0,7300000300000000000000000,0
RU,ROS,Батайск,0x834f00112fdd658311da4c6326ef0e24,6100000300000000000000000,0
RU,CU,Батырево,0xb68602215ecc9d4b11e10c319430f8bf,2100400000100000000000000,0
RU,CRI,Бахчисарай,0xa2b9735dd2a09acf4b1404bcfd37bbb1,9100100100000000000000000,0
RU,NIZ,Бебяево,0xb07c00215e563c5011e006bf9b39b870,5200300000900000000000000,0
RU,LEN,Бегуницы,0x9505001438c4d49511db5e7964dbecf0,4700300000800000000000000,0
RU,TVE,Бежецк,0xac09001a64d37be411de25cbd130f375,6900300100000000000000000,0
RU,KIR,Безводное,0x971400215e7024d411dee30f40244569,5202700000700000000000000,0
RU,SAM,Безенчук,0x81e100112fdd658311da55b5652db3c8,6300300000100000000000000,0
RU,NVS,Безменово,0xb35b00215e70232411df6804d23b3100,5402800000400000000000000,0
RU,KRS,Белая,0xb5e10030485ab1ee11dc62867d36d099,4600200000100000000000000,0
RU,KDA,Белая Глина,0x81e100112fdd658311da55b5652db3ca,2300500000100000000000000,0
RU,SA,Белая Гора,0xbd38001a64d37ed811dfa472a378c398,1400200000100000000000000,0
RU,ROS,Белая Калитва,0x81e100112fdd658311da55b5652db3cb,6100500100000000000000000,0
RU,BEL,Белгород,0x834f00112fdd658311da4c6326ef0e0d,3100000100000000000000000,1
RU,BA,Белебей,0x81e100112fdd658311da55b5652db3cc,200900100000000000000000,0
RU,TUL,Белев,0x81e100112fdd658311da55b5652db3cd,7100400100000000000000000,0
RU,PNZ,Белинский,0xbc12001a649655bf11dd7b2c58ba9a5e,5800500100000000000000000,0
RU,CHE,Белово,0x81f600112fdd658311da7152ab69d623,4200001500000000000000000,0
RU,KEM,Белогорск,0x81f600112fdd658311da7152ab69d624,2800000300000000000000000,0
RU,KGN,Белозерское,0xb68602215ecc9d4b11e10c319430f8db,4500300000100000000000000,0
RU,ALT,Белокуриха,0x89ea00215e70232411dee0ae143b6735,2200000300000000000000000,0
RU,KR,Беломорск,0x81f600112fdd658311da7152ab69d625,1000200100000000000000000,0
RU,SPE,Белоостров,0x9505001438c4d49511db5e7964dbecf1,7800000000400000000000000,0
RU,BA,Белорецк,0x81e100112fdd658311da55b5652db3cf,201100100000000000000000,0
RU,KDA,Белореченск,0x81e100112fdd658311da55b5652db3d0,2300600100000000000000000,0
RU,KHM,Белоярский,0x832e001a64d37be411deba248a56aaf1,8600001300000000000000000,0
RU,MOS,Белые Столбы,0x81e100112fdd658311da55b5652db3d3,5000000101900000000000000,0
RU,KDA,Белый,0xb328e0677e71229e4a4cda137a0018dd,6900400100000000000000000,0
RU,SA,Бердигестях,0xaa7e00215e7024d411e22418550d4909,1401200000100000000000000,0
RU,NVS,Бердск,0x9ba5001a649655bf11dd4f06b3c4e370,5400000200000000000000000,0
RU,VLA,Березники,0x81f600112fdd658311da7152ab69d626,5900000200000000000000000,1
RU,SAM,Березовка,0xa13600215e563c5011df42f2fe4e78e2,6403900000400000000000000,0
RU,VOR,Березово,0x80cd001a64963cbd11e26b6fe9159770,8600300000100000000000000,0
RU,SVE,Березовский,0x832e001a64d37be411de9619573d4f98,4200000300000000000000000,0
RU,SA,Беркакит,0xa30f6eae8b603ea911e286e4a6276795,1400000200200000000000000,0
RU,MOS,Беседы,0x81e100112fdd658311da55b5652db5be,5001400001300000000000000,0
RU,SE,Беслан,0xb388001a649655bf11dd0ac587b9994d,1500800100000000000000000,0
RU,BEL,Бессоновка,0xbc12001a649655bf11dd7b2c58ba9a5f,5800600000100000000000000,0
RU,BA,Бижбуляк,0x8be8aff853ba97b746afa91fefe779cf,201200000100000000000000,0
RU,ALT,Бийск,0x81f600112fdd658311da7152ab69d627,2200000400000000000000000,1
RU,KHA,Бикин,0x94c900215e7024d411df23881f0075c3,2700000400000000000000000,0
RU,CHU,Билибино,0xae836eae8b60617911e28556ab05c16b,8700300100000000000000000,0
RU,YEV,Биробиджан,0x81f600112fdd658311da7152ab69d628,7900000100000000000000000,0
RU,BA,Бирск,0x81e100112fdd658311da55b5652db3d4,201300100000000000000000,0
RU,IRK,Бирюсинск,0xac09001a64d37be411de25cbd130f378,3801900200000000000000000,0
RU,BEL,Бирюч,0x81e100112fdd658311da55b5652db486,3101200100000000000000000,0
RU,AST,Бирючья Коса,0xa8820030485ab1ee11dc3366674cacd4,3000800000900000000000000,0
KG,Y,Бишкек,0xae1e9ce2f2a1557049253c726003e6a2,9994170100000100000000000,0
RU,BA,Благовещенск,0xaa00000423b423b711daf09106f4549e,201500100000000000000000,0
RU,STA,Благодарный,0x81e100112fdd658311da55b5652db3d5,2600600100000000000000000,0
RU,VOR,Бобров,0x81e100112fdd658311da55b5652db3d6,3600300100000000000000000,0
BY,MA,Бобруйск,0x9da6806cf5e955d44c3d9cde30e3883e,9991127200001000000000000,0
RU,TYU,Богандинский,0x8a3100215e70232411df9bbe3f0c43a8,7200100000300000000000000,0
RU,BEL,Богатое,0xb5e10030485ab1ee11dc62867d36d069,6300400000100000000000000,0
RU,TA,Богатые Сабы,0xb68602215ecc9d4b11e10c319430f8d4,1603600000100000000000000,0
RU,SVE,Богданович,0x907b001438c4d49511dc92a325774df5,6600800100000000000000000,0
RU,TUL,Богородицк,0x81e100112fdd658311da55b5652db3d7,7100500100000000000000000,0
RU,NIZ,Богородск,0x81e100112fdd658311da55b5652db3d8,5200500100000000000000000,0
RU,KYA,Боготол,0x983a001a649655bf11dd2886b2a0a683,2400001300000000000000000,0
RU,KYA,Богучаны,0xb80f001a649655bf11dd914fe2a22cc2,2400800000100000000000000,0
RU,VOR,Богучар,0x81f600112fdd658311da714fef362e07,3600400100000000000000000,0
RU,IRK,Бодайбо,0xbd38001a64d37ed811dfa472a378c389,3800000600000000000000000,0
RU,LEN,Бокситогорск,0x81e100112fdd658311da55b5652db3da,4700200100000000000000000,0
RU,TA,Болгар,0xb69600215e7024d411df59a0d8bbee16,1603800100000000000000000,0
RU,TVE,Бологое,0x81f600112fdd658311da7152ab69d62b,6900500100000000000000000,0
RU,NVS,Болотное,0x9ba5001a649655bf11dd4f06b3c4e374,5400400100000000000000000,0
RU,TUL,Болохово,0xa745000423b423b711da9498eaae0a12,7101400200000000000000000,0
RU,ORL,Болхов,0x81e100112fdd658311da55b5652db3db,5700200100000000000000000,0
